location_id,month,hour,temperature (C degree),humidity (%),pressure (hPa),cloudcover (%),windspeed (km/h),season_encoded,day_night_encoded,precipitation (mm)
3,9,22,25.7,89,1010.1,97,4.8,1,1,0.0
4,8,5,24.9,95,1007.7,100,8.2,1,1,0.0
4,7,13,28.2,84,1007.9,100,14.5,1,0,6.5
8,1,11,28.2,57,1011.7,24,1.5,0,0,0.0
4,9,15,28.6,69,1005.7,100,10.3,1,0,0.0
2,8,19,25.9,94,1007.8,96,8.7,1,1,0.0
8,2,21,26.8,78,1011.3,100,6.9,0,1,0.0
8,11,21,25.2,94,1012.3,100,3.1,1,1,0.1
3,1,4,21.8,97,1010.3,0,2.8,0,1,0.0
8,7,7,26.1,88,1005.7,100,14.8,1,0,0.0
1,10,9,28.6,79,1012.8,51,8.7,1,0,0.0
1,10,19,25.2,91,1010.1,79,8.5,1,1,0.2
6,5,3,25.3,96,1006.3,100,1.1,1,1,0.0
6,7,6,25.1,91,1004.9,99,10.8,1,0,0.0
3,1,10,28.9,63,1014.1,42,11.8,0,0,0.0
4,3,7,26.1,69,1013.0,43,6.0,0,0,0.0
1,7,0,26.9,78,1007.2,100,18.5,1,1,0.0
2,1,2,24.1,88,1011.9,100,13.8,0,1,0.0
4,12,22,26.4,93,1009.5,26,3.6,0,1,0.0
6,2,16,33.9,42,1010.7,18,7.2,0,0,0.0
4,12,19,26.0,79,1008.5,7,7.3,0,1,0.0
4,4,19,29.3,77,1008.8,25,4.4,0,1,0.0
7,9,17,26.8,85,1007.0,100,12.9,1,0,0.1
6,8,21,28.0,83,1011.2,100,8.7,1,1,0.1
7,1,23,24.8,78,1011.9,9,4.0,0,1,0.0
3,9,23,25.5,95,1009.7,100,9.8,1,1,0.0
4,9,6,24.4,97,1010.5,100,4.1,1,0,0.0
7,10,18,25.7,91,1010.0,100,4.0,1,1,0.0
5,12,23,25.1,91,1011.9,100,3.6,0,1,0.1
7,6,19,26.0,92,1007.7,100,3.8,1,1,0.0
1,3,1,26.2,86,1009.7,100,18.2,0,1,0.0
1,1,3,23.8,87,1009.5,81,10.3,0,1,0.0
6,10,22,24.9,94,1011.7,38,4.1,1,1,0.0
6,2,15,34.6,42,1009.5,100,14.6,0,0,0.0
6,3,21,26.9,79,1011.9,40,4.2,0,1,0.0
4,5,7,28.6,81,1008.5,3,5.0,1,0,0.0
1,5,11,29.3,75,1010.4,100,16.6,1,0,2.1
7,5,6,24.8,97,1009.4,89,5.5,1,0,0.0
1,2,18,27.1,77,1012.0,2,27.1,0,1,0.0
4,6,20,30.8,79,1007.8,100,7.6,1,1,0.0
5,4,20,25.2,96,1010.6,89,1.8,0,1,0.0
2,12,10,27.2,86,1008.4,100,4.2,0,0,0.0
8,7,5,24.4,96,1007.2,100,5.0,1,1,0.0
3,8,17,28.1,82,1005.6,92,13.8,1,0,1.0
4,7,19,26.3,92,1006.3,100,4.7,1,1,0.2
8,3,1,25.9,81,1009.4,2,13.9,0,1,0.0
4,3,7,25.7,76,1011.8,77,9.4,0,0,0.0
1,5,4,25.5,98,1007.0,100,5.6,1,1,0.0
2,9,12,31.4,68,1010.8,57,6.7,1,0,0.2
2,10,11,26.0,90,1012.0,100,9.7,1,0,8.7
6,7,3,24.6,95,1006.8,57,5.6,1,1,0.0
4,5,15,31.4,70,1005.1,100,4.3,1,0,0.2
1,5,2,27.6,85,1008.5,21,4.3,1,1,0.1
3,10,5,23.7,100,1010.0,100,5.0,1,1,0.0
8,5,13,36.0,44,1007.9,25,3.8,1,0,0.0
7,6,22,25.0,96,1010.7,100,2.6,1,1,0.6
8,4,14,35.0,49,1007.3,20,2.4,0,0,0.0
6,7,17,27.0,83,1006.5,100,15.1,1,0,0.7
3,7,9,28.0,86,1009.9,97,6.9,1,0,0.4
1,6,2,25.7,93,1007.4,100,8.6,1,1,0.0
1,7,1,27.2,85,1008.3,100,14.7,1,1,0.0
5,6,18,26.8,86,1009.2,100,8.6,1,1,0.2
8,12,14,29.9,61,1009.0,100,14.3,0,0,0.0
3,12,4,21.9,96,1011.1,70,7.7,0,1,0.0
5,2,7,25.0,87,1014.6,10,14.2,0,0,0.0
2,3,16,28.4,61,1004.4,1,11.9,0,0,0.0
2,7,21,24.6,99,1008.4,100,9.9,1,1,0.4
3,5,20,28.5,79,1008.5,100,5.9,1,1,0.0
1,6,0,29.1,85,1009.5,100,9.3,1,1,0.0
8,4,17,34.0,48,1003.7,35,14.5,0,0,0.0
3,10,5,23.5,99,1009.3,90,1.6,1,1,0.0
5,9,21,25.5,93,1003.4,100,9.7,1,1,0.6
8,8,1,25.6,93,1009.9,91,6.0,1,1,0.0
1,8,17,25.8,89,1005.5,100,23.0,1,0,0.6
7,11,8,27.6,83,1011.2,97,7.7,1,0,0.0
6,2,3,23.8,82,1014.1,70,4.7,0,1,0.0
4,10,8,25.9,91,1011.1,100,4.5,1,0,1.6
4,10,18,26.5,87,1007.9,100,7.4,1,1,0.0
8,2,15,32.0,52,1009.3,100,2.0,0,0,0.0
2,9,0,25.5,94,1011.6,100,2.4,1,1,0.0
7,5,11,33.3,54,1008.6,99,8.5,1,0,0.0
8,2,4,23.9,98,1012.3,92,2.8,0,1,0.0
2,9,18,25.0,99,1006.7,100,8.7,1,1,0.3
3,4,19,29.8,71,1007.6,19,15.8,0,1,0.0
1,9,12,26.6,83,1011.5,100,13.1,1,0,0.3
4,6,10,29.8,76,1009.4,71,12.1,1,0,0.0
2,10,8,26.8,94,1012.5,19,2.7,1,0,0.0
1,1,13,29.1,71,1009.4,44,3.5,0,0,0.0
4,2,8,26.6,59,1014.0,59,10.5,0,0,0.0
8,7,11,31.5,70,1008.4,97,18.9,1,0,0.0
4,4,18,28.7,73,1008.3,78,14.4,0,1,0.0
7,10,6,24.0,94,1010.6,68,2.0,1,0,0.1
3,11,8,25.7,68,1012.5,100,9.6,1,0,0.0
3,12,0,23.8,74,1012.1,94,10.1,0,1,0.0
5,10,14,30.6,73,1008.1,95,2.7,1,0,0.0
8,7,22,25.8,93,1011.1,100,4.7,1,1,0.0
7,8,2,25.4,96,1008.0,44,1.1,1,1,0.0
6,5,18,29.1,77,1006.5,99,7.0,1,1,0.0
7,12,3,25.1,74,1007.6,100,11.8,0,1,0.0
2,10,13,27.4,90,1008.8,100,6.4,1,0,1.4
2,9,11,28.5,79,1003.6,100,14.9,1,0,0.0
5,9,8,26.7,90,1011.3,100,3.4,1,0,0.0
2,10,7,26.5,92,1009.8,99,3.2,1,0,0.0
3,10,12,30.6,72,1010.4,69,1.2,1,0,0.3
8,8,1,24.0,97,1008.2,18,4.9,1,1,0.0
2,9,15,29.3,66,1005.7,100,12.3,1,0,0.0
1,6,3,26.4,90,1007.0,100,6.6,1,1,1.3
8,9,14,28.4,78,1009.0,100,19.5,1,0,5.1
6,8,2,25.4,97,1008.8,99,4.4,1,1,0.0
8,9,14,31.4,71,1004.3,100,3.7,1,0,0.2
7,8,13,31.4,66,1009.8,100,1.3,1,0,0.0
7,10,7,25.1,96,1011.8,11,5.5,1,0,0.0
4,1,17,29.8,64,1010.2,22,11.0,0,0,0.1
4,7,3,26.0,90,1005.6,100,3.8,1,1,0.0
7,8,18,26.9,86,1008.5,99,4.8,1,1,0.0
1,6,3,27.4,90,1009.4,100,16.8,1,1,0.1
1,12,20,25.9,84,1011.0,100,11.2,0,1,0.0
4,11,0,25.4,96,1009.0,48,3.3,1,1,0.0
2,1,8,25.0,82,1013.8,100,5.1,0,0,0.0
7,8,8,27.1,89,1009.4,28,4.9,1,0,0.0
7,8,17,25.3,93,1006.8,100,15.5,1,0,13.4
2,4,19,27.1,89,1008.0,52,6.6,0,1,0.0
6,12,17,27.3,83,1007.7,98,7.6,0,0,0.3
2,2,11,31.8,55,1014.7,28,14.5,0,0,0.0
8,5,18,28.9,78,1005.8,89,4.2,1,1,0.0
1,1,8,25.6,89,1013.5,100,5.5,0,0,0.0
6,10,6,24.2,98,1008.1,100,5.9,1,0,0.0
5,4,16,33.6,53,1005.9,93,24.1,0,0,0.0
1,6,22,29.0,80,1009.8,100,14.8,1,1,0.0
3,8,11,31.0,71,1009.2,100,11.3,1,0,0.1
8,3,18,31.6,51,1010.0,100,13.8,0,1,0.0
3,3,11,32.3,47,1012.7,90,3.3,0,0,0.0
7,10,20,24.8,94,1009.2,14,5.0,1,1,0.0
3,10,2,24.9,99,1009.0,100,3.2,1,1,0.0
3,12,9,27.7,70,1009.7,100,9.3,0,0,0.0
5,11,10,28.7,81,1011.5,100,3.6,1,0,0.0
8,9,2,24.1,99,1011.0,100,4.1,1,1,0.0
6,6,20,28.0,77,1007.7,87,8.3,1,1,0.0
7,1,9,25.5,69,1013.4,100,2.8,0,0,0.0
4,4,7,27.6,85,1011.4,56,7.9,0,0,0.1
2,7,8,28.0,85,1012.0,46,6.2,1,0,0.0
3,4,3,25.5,86,1010.2,6,5.9,0,1,0.0
7,2,9,25.2,76,1012.0,11,4.9,0,0,0.0
5,5,15,32.0,62,1006.1,34,13.4,1,0,0.0
5,5,10,31.9,60,1010.6,100,9.2,1,0,0.0
3,8,22,25.2,96,1008.2,100,1.7,1,1,0.6
1,5,13,31.3,70,1007.2,100,18.1,1,0,0.0
5,1,15,32.4,39,1007.9,100,1.5,0,0,0.0
8,2,18,29.6,58,1012.8,93,6.1,0,1,0.0
3,10,5,23.3,97,1008.7,100,5.3,1,1,0.0
1,1,21,24.7,85,1010.6,82,16.8,0,1,0.0
3,7,3,24.6,97,1007.2,100,7.3,1,1,0.9
3,2,0,24.4,84,1014.2,3,11.0,0,1,0.0
4,8,8,26.4,89,1010.5,100,2.8,1,0,0.0
3,4,21,25.1,94,1012.1,100,6.1,0,1,0.2
1,1,17,27.5,78,1009.8,67,6.5,0,0,0.0
3,4,16,35.1,41,1005.7,20,3.2,0,0,0.0
5,2,12,31.7,51,1014.9,100,6.6,0,0,0.0
7,9,2,24.3,97,1007.3,99,3.1,1,1,0.0
8,7,5,25.4,90,1004.8,89,8.7,1,1,0.0
4,6,5,25.1,96,1008.7,95,7.6,1,1,0.0
3,7,12,32.1,67,1007.8,99,17.4,1,0,0.0
1,7,4,27.1,88,1007.1,98,10.0,1,1,0.0
6,9,11,31.3,65,1010.6,64,6.3,1,0,0.1
7,2,10,28.6,69,1014.7,38,9.4,0,0,0.0
2,11,23,26.4,88,1010.0,1,8.9,1,1,0.0
3,3,8,29.2,66,1011.1,36,9.6,0,0,0.0
4,10,7,26.6,91,1011.2,23,1.9,1,0,0.0
7,2,15,33.4,23,1008.9,100,9.4,0,0,0.0
8,7,9,27.4,85,1009.9,100,10.2,1,0,0.2
8,2,22,26.5,73,1015.4,39,11.4,0,1,0.0
8,9,13,27.4,87,1008.4,100,14.1,1,0,9.7
7,2,11,32.1,51,1013.6,51,6.3,0,0,0.0
7,3,22,27.7,66,1012.0,7,9.0,0,1,0.0
2,8,19,25.0,99,1009.2,100,7.5,1,1,0.8
3,6,18,30.7,73,1009.5,100,7.2,1,1,0.3
7,9,2,25.0,97,1007.0,100,4.3,1,1,1.1
1,2,9,28.2,76,1014.8,16,23.4,0,0,0.0
3,3,12,33.4,48,1008.2,12,11.0,0,0,0.0
8,10,0,24.5,96,1012.7,95,4.0,1,1,0.0
7,8,22,25.9,93,1010.0,87,4.1,1,1,0.0
5,5,15,30.0,73,1004.9,100,7.7,1,0,0.0
1,10,15,26.5,86,1004.2,100,20.6,1,0,0.9
5,8,23,26.2,88,1010.2,100,9.8,1,1,0.1
5,7,4,26.1,89,1007.7,26,8.3,1,1,0.0
8,3,7,26.9,70,1013.8,3,5.3,0,0,0.0
2,9,21,25.5,97,1009.0,100,4.4,1,1,0.0
3,12,18,28.6,64,1009.1,94,11.3,0,1,0.0
6,12,5,23.6,90,1007.3,100,4.9,0,1,0.0
5,9,2,24.9,96,1008.0,100,2.9,1,1,0.0
7,10,16,27.0,88,1007.3,100,11.0,1,0,0.0
3,8,5,24.8,97,1006.9,100,11.8,1,1,0.1
8,7,3,24.6,96,1007.6,100,7.4,1,1,0.5
1,1,9,27.0,75,1013.6,100,4.8,0,0,0.0
3,2,9,29.4,53,1015.1,76,11.4,0,0,0.0
3,4,4,24.3,98,1009.3,29,2.2,0,1,0.0
7,3,16,31.1,57,1008.3,64,21.0,0,0,0.1
8,8,13,31.3,67,1005.2,100,14.5,1,0,0.0
1,4,22,28.1,86,1011.7,98,12.4,0,1,0.0
2,2,14,32.8,38,1014.2,71,7.6,0,0,0.0
7,8,11,31.5,70,1007.5,96,12.9,1,0,0.2
4,7,2,26.3,90,1007.2,100,9.2,1,1,0.1
3,3,3,24.1,85,1011.1,93,8.4,0,1,0.0
6,10,23,25.4,92,1008.6,100,4.1,1,1,0.1
5,8,11,31.3,67,1011.1,100,4.5,1,0,0.0
1,6,12,30.7,67,1010.7,58,15.7,1,0,0.0
7,12,1,24.9,94,1012.5,100,1.8,0,1,0.0
1,2,6,25.3,81,1012.8,2,22.5,0,0,0.0
2,3,15,31.3,56,1009.3,76,19.0,0,0,0.0
2,2,5,24.7,91,1011.2,48,9.8,0,1,0.0
1,9,22,27.3,89,1007.2,100,13.3,1,1,0.0
1,5,17,31.2,72,1005.1,97,15.8,1,0,0.0
1,7,15,30.5,66,1005.8,37,20.7,1,0,0.0
4,12,14,30.8,64,1006.0,100,4.4,0,0,0.0
8,10,22,25.0,94,1012.6,100,4.5,1,1,0.0
7,6,18,28.0,85,1005.0,100,7.3,1,1,0.0
3,1,19,27.0,67,1014.9,0,9.7,0,1,0.0
3,9,3,25.2,94,1002.8,100,12.2,1,1,1.8
6,9,12,32.2,62,1008.6,100,11.2,1,0,0.0
4,10,6,25.0,96,1010.7,63,3.1,1,0,0.0
1,9,19,28.2,82,1008.4,100,16.2,1,1,0.0
4,4,11,34.6,47,1012.5,58,15.3,0,0,0.0
8,6,1,26.7,90,1010.0,97,4.6,1,1,0.0
3,5,2,27.2,93,1007.4,100,3.1,1,1,0.0
6,8,22,24.2,95,1008.1,100,8.7,1,1,0.2
3,9,21,26.3,93,1008.8,100,6.2,1,1,0.0
8,1,7,23.5,79,1013.0,100,6.3,0,0,0.0
4,1,21,24.4,81,1010.9,100,8.9,0,1,0.0
5,10,11,27.8,80,1009.8,100,7.0,1,0,0.4
5,3,11,34.4,43,1010.6,100,10.8,0,0,0.0
5,6,15,33.7,56,1004.3,100,11.7,1,0,0.0
4,9,20,27.3,93,1008.1,96,4.7,1,1,0.0
1,6,8,27.3,87,1009.6,100,3.2,1,0,0.6
6,10,22,25.9,90,1008.7,100,8.0,1,1,0.2
5,4,11,33.9,47,1009.9,100,6.3,0,0,0.0
7,9,0,25.4,89,1010.1,100,3.9,1,1,0.0
6,4,21,28.4,78,1009.1,2,15.1,0,1,0.0
5,10,13,30.3,72,1008.3,69,5.2,1,0,0.0
3,1,17,29.9,55,1009.5,21,7.1,0,0,0.0
1,6,3,27.4,88,1008.0,28,13.8,1,1,0.0
1,8,9,28.9,79,1010.0,84,11.3,1,0,0.0
3,4,5,26.8,91,1008.9,23,7.5,0,1,0.0
8,3,10,30.7,57,1015.3,27,6.0,0,0,0.0
8,7,7,25.8,93,1009.0,100,13.6,1,0,0.0
3,12,23,24.6,97,1010.0,97,8.2,0,1,0.0
2,7,14,26.7,91,1009.5,100,6.4,1,0,2.2
7,7,19,25.5,94,1008.4,100,7.9,1,1,0.6
6,10,2,24.0,97,1009.5,83,7.3,1,1,0.0
5,4,13,34.0,51,1008.8,100,6.6,0,0,0.0
7,3,3,24.6,83,1011.6,100,5.0,0,1,0.0
2,3,0,24.6,87,1012.4,96,17.8,0,1,0.0
1,9,6,25.9,92,1002.6,100,22.3,1,0,0.2
1,2,13,27.8,64,1010.9,100,12.7,0,0,0.0
7,6,12,32.7,63,1007.6,100,6.4,1,0,0.0
3,4,16,34.9,47,1006.2,11,14.8,0,0,0.0
6,8,9,28.1,83,1008.4,100,13.0,1,0,0.0
4,4,5,25.1,87,1011.5,4,4.6,0,1,0.0
7,8,9,28.4,78,1009.7,100,11.7,1,0,0.0
1,3,4,26.4,85,1010.6,39,15.8,0,1,0.0
6,5,2,26.3,97,1008.3,97,3.3,1,1,0.0
3,5,8,28.3,84,1008.3,99,4.1,1,0,0.0
1,5,21,28.6,79,1009.0,99,6.3,1,1,0.0
2,9,5,24.3,98,1010.1,99,3.9,1,1,0.0
6,9,20,23.8,86,1009.5,100,9.4,1,1,0.4
8,3,19,29.5,56,1010.8,16,3.2,0,1,0.0
5,8,21,26.7,88,1008.6,100,6.9,1,1,0.0
5,9,19,25.7,93,1007.6,100,1.3,1,1,0.4
3,4,21,28.3,83,1008.7,73,12.8,0,1,0.0
8,5,11,34.8,53,1009.2,100,7.3,1,0,0.0
5,10,15,29.6,73,1006.5,100,8.5,1,0,4.8
8,1,16,32.5,41,1011.1,95,5.2,0,0,0.0
4,10,5,24.2,96,1010.8,11,2.7,1,1,0.0
4,5,8,30.1,75,1008.7,60,3.3,1,0,0.0
6,3,2,25.4,80,1010.4,3,14.5,0,1,0.0
6,12,7,24.3,94,1013.6,30,1.9,0,0,0.0
3,1,11,29.2,71,1011.7,61,4.8,0,0,0.0
4,1,17,30.3,56,1008.5,100,11.6,0,0,0.0
3,3,21,27.4,81,1012.9,100,0.9,0,1,0.0
6,9,17,27.9,84,1007.9,100,7.9,1,0,0.3
8,1,19,25.4,65,1011.6,81,4.3,0,1,0.0
6,7,1,24.9,95,1008.7,100,6.2,1,1,0.0
4,9,20,26.4,88,1008.5,100,9.7,1,1,0.0
7,2,4,23.3,92,1013.7,24,5.1,0,1,0.0
4,10,7,25.1,96,1009.1,100,5.1,1,0,0.0
6,10,17,26.5,86,1009.6,100,7.3,1,0,3.0
5,11,12,30.9,62,1010.0,17,3.8,1,0,0.0
2,11,18,27.0,85,1009.5,50,5.9,1,1,0.0
6,2,16,32.8,41,1013.2,91,3.4,0,0,0.0
8,9,2,25.1,94,1004.1,100,10.6,1,1,0.0
2,11,7,25.9,92,1009.8,4,1.7,1,0,0.0
4,3,15,35.3,35,1008.5,76,7.9,0,0,0.0
2,6,20,25.2,94,1010.5,100,6.8,1,1,0.9
3,7,1,26.0,89,1007.7,100,10.1,1,1,0.0
8,3,1,26.1,71,1010.6,14,4.8,0,1,0.0
1,11,16,28.9,73,1007.3,99,17.2,1,0,0.0
2,4,19,28.9,74,1006.4,2,10.6,0,1,0.0
7,2,12,33.7,39,1013.3,1,6.2,0,0,0.0
2,10,15,26.0,87,1008.3,100,10.8,1,0,5.8
6,7,16,29.1,77,1003.1,95,10.5,1,0,0.2
4,1,0,24.3,92,1012.2,100,3.3,0,1,0.0
2,10,19,27.6,88,1006.2,93,0.6,1,1,0.0
4,10,17,27.3,83,1007.2,99,5.1,1,0,0.0
4,6,11,28.1,85,1009.9,100,5.2,1,0,4.3
8,1,5,22.3,80,1009.2,95,9.5,0,1,0.0
2,3,15,31.2,55,1008.5,27,19.5,0,0,0.0
5,3,9,29.4,68,1012.2,16,11.8,0,0,0.0
2,5,22,27.1,87,1010.2,99,11.1,1,1,0.0
8,8,2,24.5,99,1009.3,62,5.7,1,1,0.0
3,12,3,23.8,99,1006.1,95,5.2,0,1,0.0
3,2,20,26.0,76,1012.5,74,10.2,0,1,0.0
5,8,4,24.1,97,1005.2,100,6.0,1,1,0.3
1,9,18,26.7,86,1004.4,100,10.5,1,1,0.2
3,1,2,24.0,86,1009.8,100,5.5,0,1,0.0
3,12,15,29.1,53,1009.2,100,9.8,0,0,0.0
6,6,0,26.6,99,1011.0,98,3.3,1,1,0.0
6,9,8,26.8,88,1010.1,100,2.2,1,0,0.0
1,8,13,27.1,83,1009.1,100,17.2,1,0,9.1
3,7,5,24.9,93,1005.9,100,11.4,1,1,0.0
7,11,12,31.6,67,1009.6,100,6.9,1,0,0.0
4,9,6,24.4,97,1008.5,100,5.6,1,0,0.0
7,6,11,28.3,79,1006.3,100,13.8,1,0,0.0
5,2,16,32.5,51,1010.7,41,20.7,0,0,0.0
4,7,19,27.1,88,1006.4,93,7.2,1,1,0.0
7,7,7,25.8,89,1009.9,85,10.0,1,0,0.2
3,12,19,26.0,80,1007.4,100,11.8,0,1,0.0
1,5,6,26.6,99,1007.8,99,4.4,1,0,0.1
6,4,7,27.5,84,1011.0,15,10.1,0,0,0.0
6,7,0,24.6,97,1008.1,100,8.7,1,1,0.3
6,6,6,26.2,95,1007.7,100,3.4,1,0,0.0
2,4,2,27.4,82,1009.4,58,11.4,0,1,0.0
8,10,18,25.5,95,1009.1,100,1.1,1,1,0.1
1,9,10,29.1,68,1009.1,98,12.2,1,0,0.3
5,12,3,23.5,90,1010.5,100,5.4,0,1,0.0
7,10,14,31.6,60,1006.9,88,6.6,1,0,0.1
5,3,19,28.5,68,1008.5,20,11.5,0,1,0.0
3,7,17,29.6,80,1002.6,100,7.4,1,0,1.1
3,4,13,38.1,40,1005.9,98,12.1,0,0,0.0
2,7,13,34.0,49,1005.6,99,19.4,1,0,0.0
3,10,14,31.4,64,1009.0,85,3.6,1,0,0.6
2,8,1,25.3,94,1009.9,100,5.9,1,1,0.0
5,10,16,27.8,82,1008.1,100,3.6,1,0,0.2
6,4,3,25.9,94,1009.1,10,6.1,0,1,0.0
8,9,3,25.3,94,1003.4,100,13.1,1,1,0.0
3,1,13,30.7,61,1011.6,100,2.1,0,0,0.1
5,11,20,26.7,92,1009.4,7,6.6,1,1,0.0
4,4,11,33.1,54,1011.5,12,7.2,0,0,0.0
8,10,1,24.7,95,1011.7,89,0.4,1,1,0.0
2,5,17,31.5,63,1006.9,11,14.5,1,0,0.0
5,5,13,34.9,50,1008.1,50,8.2,1,0,0.0
1,1,5,22.6,97,1011.5,69,5.2,0,1,0.0
5,8,2,25.1,94,1007.1,14,7.2,1,1,0.0
6,9,22,25.6,92,1006.7,100,10.7,1,1,0.0
8,9,10,28.5,83,1008.7,100,3.1,1,0,0.4
5,8,1,23.9,96,1007.3,100,8.8,1,1,0.1
6,5,23,26.8,91,1009.6,100,3.5,1,1,0.0
4,1,15,31.0,48,1007.8,62,1.4,0,0,0.0
4,6,20,27.8,88,1007.6,85,6.0,1,1,0.0
8,2,20,27.5,74,1012.7,0,14.7,0,1,0.0
3,2,15,34.2,43,1008.3,34,18.7,0,0,0.0
6,3,5,24.5,85,1010.7,53,5.3,0,1,0.0
